[  175.424,   190.208]; seg_len = 14.784; step_len =  1.632; score =  0.212;    2
[  176.192,   191.072]; seg_len = 14.880; step_len =  0.768; score =  0.212;    2
[  176.768,   191.712]; seg_len = 14.944; step_len =  0.576; score =  0.212;    2
[  177.824,   192.768]; seg_len = 14.944; step_len =  1.056; score =  0.212;    2
[  178.784,   193.728]; seg_len = 14.944; step_len =  0.960; score =  0.212;    2
[  180.160,   195.104]; seg_len = 14.944; step_len =  1.376; score =  0.106;    1
[  180.800,   195.616]; seg_len = 14.816; step_len =  0.640; score =  0.106;    1
[  182.240,   197.152]; seg_len = 14.912; step_len =  1.440; score =  0.106;    1
[  182.720,   197.344]; seg_len = 14.624; step_len =  0.480; score =  0.106;    1
[  183.840,   198.784]; seg_len = 14.944; step_len =  1.120; score =  0.106;    1
[  185.056,   199.936]; seg_len = 14.880; step_len =  1.216; score =  0.106;    1
[  185.696,   200.576]; seg_len = 14.880; step_len =  0.640; score =  0.000;    0
[  186.720,   201.568]; seg_len = 14.848; step_len =  1.024; score =  0.106;    1
[  188.736,   202.464]; seg_len = 13.728; step_len =  2.016; score =  0.106;    1
[  188.736,   202.464]; seg_len = 13.728; step_len =  0.000; score =  0.106;    1
[  190.176,   205.120]; seg_len = 14.944; step_len =  1.440; score =  0.106;    1
[  190.720,   205.536]; seg_len = 14.816; step_len =  0.544; score =  0.106;    1
[  191.680,   206.400]; seg_len = 14.720; step_len =  0.960; score =  0.106;    1
[  192.736,   207.424]; seg_len = 14.688; step_len =  1.056; score =  0.106;    1
[  193.728,   208.672]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  194.656,   209.568]; seg_len = 14.912; step_len =  0.928; score =  0.106;    1
[  195.616,   210.560]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  196.640,   211.584]; seg_len = 14.944; step_len =  1.024; score =  0.106;    1
[  197.856,   212.736]; seg_len = 14.880; step_len =  1.216; score =  0.106;    1
[  198.720,   213.440]; seg_len = 14.720; step_len =  0.864; score =  0.106;    1
[  199.680,   214.496]; seg_len = 14.816; step_len =  0.960; score =  0.106;    1
[  200.576,   215.392]; seg_len = 14.816; step_len =  0.896; score =  0.106;    1
[  201.568,   216.288]; seg_len = 14.720; step_len =  0.992; score =  0.106;    1
[  203.744,   218.496]; seg_len = 14.752; step_len =  2.176; score =  0.106;    1
[  203.744,   218.496]; seg_len = 14.752; step_len =  0.000; score =  0.106;    1
[  204.672,   219.616]; seg_len = 14.944; step_len =  0.928; score =  0.000;    0
[  205.536,   220.480]; seg_len = 14.944; step_len =  0.864; score =  0.000;    0
[  206.752,   221.696]; seg_len = 14.944; step_len =  1.216; score =  0.000;    0
[  207.840,   222.784]; seg_len = 14.944; step_len =  1.088; score =  0.000;    0
[  208.512,   222.784]; seg_len = 14.272; step_len =  0.672; score =  0.000;    0
[  209.536,   224.448]; seg_len = 14.912; step_len =  1.024; score =  0.000;    0
[  210.560,   225.504]; seg_len = 14.944; step_len =  1.024; score =  0.000;    0
[  211.488,   225.984]; seg_len = 14.496; step_len =  0.928; score =  0.000;    0
[  212.576,   227.232]; seg_len = 14.656; step_len =  1.088; score =  0.212;    2
[  213.696,   228.064]; seg_len = 14.368; step_len =  1.120; score =  0.212;    2
[  214.464,   228.800]; seg_len = 14.336; step_len =  0.768; score =  0.212;    2
[  216.256,   231.104]; seg_len = 14.848; step_len =  1.792; score =  0.212;    2
[  217.056,   231.904]; seg_len = 14.848; step_len =  0.800; score =  0.212;    2
[  217.568,   232.256]; seg_len = 14.688; step_len =  0.512; score =  0.212;    2
[  218.432,   233.376]; seg_len = 14.944; step_len =  0.864; score =  0.212;    2
[  219.424,   234.368]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  220.416,   235.232]; seg_len = 14.816; step_len =  0.992; score =  0.212;    2
[  221.664,   236.512]; seg_len = 14.848; step_len =  1.248; score =  0.212;    2
[  222.400,   237.344]; seg_len = 14.944; step_len =  0.736; score =  0.212;    2
[  223.680,   238.624]; seg_len = 14.944; step_len =  1.280; score =  0.212;    2
[  224.384,   239.200]; seg_len = 14.816; step_len =  0.704; score =  0.212;    2
[  225.376,   240.160]; seg_len = 14.784; step_len =  0.992; score =  0.212;    2
[  226.720,   241.664]; seg_len = 14.944; step_len =  1.344; score =  0.212;    2
[  227.616,   242.560]; seg_len = 14.944; step_len =  0.896; score =  0.000;    0
[  228.800,   243.712]; seg_len = 14.912; step_len =  1.184; score =  0.000;    0
[  229.856,   244.576]; seg_len = 14.720; step_len =  1.056; score =  0.000;    0
[  230.368,   245.312]; seg_len = 14.944; step_len =  0.512; score =  0.000;    0
[  231.456,   246.368]; seg_len = 14.912; step_len =  1.088; score =  0.000;    0
[  232.736,   247.424]; seg_len = 14.688; step_len =  1.280; score =  0.000;    0
[  233.344,   247.968]; seg_len = 14.624; step_len =  0.608; score =  0.000;    0
[  234.304,   249.216]; seg_len = 14.912; step_len =  0.960; score =  0.000;    0
[  235.456,   250.048]; seg_len = 14.592; step_len =  1.152; score =  0.000;    0
[  236.480,   251.360]; seg_len = 14.880; step_len =  1.024; score =  0.106;    1
[  237.312,   252.224]; seg_len = 14.912; step_len =  0.832; score =  0.106;    1
[  238.400,   253.280]; seg_len = 14.880; step_len =  1.088; score =  0.106;    1
[  239.360,   254.304]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  240.512,   255.456]; seg_len = 14.944; step_len =  1.152; score =  0.106;    1
[  241.248,   256.192]; seg_len = 14.944; step_len =  0.736; score =  0.106;    1
[  242.240,   256.992]; seg_len = 14.752; step_len =  0.992; score =  0.106;    1
[  243.328,   258.208]; seg_len = 14.880; step_len =  1.088; score =  0.106;    1
[  244.288,   259.200]; seg_len = 14.912; step_len =  0.960; score =  0.106;    1
[  245.216,   260.160]; seg_len = 14.944; step_len =  0.928; score =  0.106;    1
[  246.208,   261.152]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  247.264,   262.080]; seg_len = 14.816; step_len =  1.056; score =  0.106;    1
[  248.320,   263.232]; seg_len = 14.912; step_len =  1.056; score =  0.106;    1
[  249.184,   264.096]; seg_len = 14.912; step_len =  0.864; score =  0.106;    1
[  250.464,   265.344]; seg_len = 14.880; step_len =  1.280; score =  0.106;    1
[  251.168,   266.112]; seg_len = 14.944; step_len =  0.704; score =  0.106;    1
[  252.160,   267.040]; seg_len = 14.880; step_len =  0.992; score =  0.106;    1
[  253.216,   268.160]; seg_len = 14.944; step_len =  1.056; score =  0.212;    2
[  254.144,   268.736]; seg_len = 14.592; step_len =  0.928; score =  0.212;    2
[  255.168,   270.080]; seg_len = 14.912; step_len =  1.024; score =  0.212;    2
[  256.160,   270.912]; seg_len = 14.752; step_len =  0.992; score =  0.212;    2
