[   78.560,    87.968]; seg_len1 =  9.408; step_len1 =  0.800; [   78.976,    88.736]; seg_len2 =  9.760; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.192; score = 28.7620;  388
[   79.680,    89.632]; seg_len1 =  9.952; step_len1 =  1.120; [   79.968,    89.856]; seg_len2 =  9.888; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 31.9789;  425
[   80.800,    90.304]; seg_len1 =  9.504; step_len1 =  1.120; [   80.960,    90.464]; seg_len2 =  9.504; step_len2 =  0.992; start_diff = -0.160; step_diff =  0.128; score = 32.1343;  402
[   81.536,    91.360]; seg_len1 =  9.824; step_len1 =  0.736; [   81.952,    91.904]; seg_len2 =  9.952; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.256; score = 31.5217;  377
[   82.560,    92.352]; seg_len1 =  9.792; step_len1 =  1.024; [   83.264,    92.736]; seg_len2 =  9.472; step_len2 =  1.312; start_diff = -0.704; step_diff = -0.288; score = 34.4978;  395
[   83.520,    93.472]; seg_len1 =  9.952; step_len1 =  0.960; [   83.936,    93.856]; seg_len2 =  9.920; step_len2 =  0.672; start_diff = -0.416; step_diff =  0.288; score = 34.6958;  365
[   84.512,    94.176]; seg_len1 =  9.664; step_len1 =  0.992; [   85.024,    94.784]; seg_len2 =  9.760; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 39.7074;  380
[   85.856,    95.776]; seg_len1 =  9.920; step_len1 =  1.344; [   85.920,    95.872]; seg_len2 =  9.952; step_len2 =  0.896; start_diff = -0.064; step_diff =  0.448; score = 34.5691;  345
[   86.528,    96.288]; seg_len1 =  9.760; step_len1 =  0.672; [   87.040,    96.672]; seg_len2 =  9.632; step_len2 =  1.120; start_diff = -0.512; step_diff = -0.448; score = 31.3765;  310
[   87.552,    96.896]; seg_len1 =  9.344; step_len1 =  1.024; [   88.320,    98.240]; seg_len2 =  9.920; step_len2 =  1.280; start_diff = -0.768; step_diff = -0.256; score = 32.2581;  300
[   88.864,    98.816]; seg_len1 =  9.952; step_len1 =  1.312; [   89.024,    98.752]; seg_len2 =  9.728; step_len2 =  0.704; start_diff = -0.160; step_diff =  0.608; score = 36.6552;  320
[   89.472,    99.072]; seg_len1 =  9.600; step_len1 =  0.608; [   90.016,    99.968]; seg_len2 =  9.952; step_len2 =  0.992; start_diff = -0.544; step_diff = -0.384; score = 33.8390;  290
[   90.784,   100.320]; seg_len1 =  9.536; step_len1 =  1.312; [   91.328,   101.280]; seg_len2 =  9.952; step_len2 =  1.312; start_diff = -0.544; step_diff =  0.000; score = 26.2544;  225
[   91.520,   101.472]; seg_len1 =  9.952; step_len1 =  0.736; [   91.904,   101.760]; seg_len2 =  9.856; step_len2 =  0.576; start_diff = -0.384; step_diff =  0.160; score = 26.9912;  244
[   92.576,   102.400]; seg_len1 =  9.824; step_len1 =  1.056; [   93.728,   103.680]; seg_len2 =  9.952; step_len2 =  1.824; start_diff = -1.152; step_diff = -0.768; score = 23.5849;  225
[   93.440,   102.976]; seg_len1 =  9.536; step_len1 =  0.864; [   93.856,   103.680]; seg_len2 =  9.824; step_len2 =  0.128; start_diff = -0.416; step_diff =  0.736; score = 18.5745;  172
[   94.560,   104.512]; seg_len1 =  9.952; step_len1 =  1.120; [   95.168,   104.832]; seg_len2 =  9.664; step_len2 =  1.312; start_diff = -0.608; step_diff = -0.192; score = 15.8525;  172
[   95.424,   105.376]; seg_len1 =  9.952; step_len1 =  0.864; [   95.872,   105.792]; seg_len2 =  9.920; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.160; score = 16.3208;  173
[   96.800,   106.720]; seg_len1 =  9.920; step_len1 =  1.376; [   97.024,   106.976]; seg_len2 =  9.952; step_len2 =  1.152; start_diff = -0.224; step_diff =  0.224; score = 17.6522;  203
[   98.720,   108.256]; seg_len1 =  9.536; step_len1 =  1.920; [   97.856,   107.808]; seg_len2 =  9.952; step_len2 =  0.832; start_diff =  0.864; step_diff =  1.088; score = 19.9177;  242
[   98.720,   108.256]; seg_len1 =  9.536; step_len1 =  0.000; [   99.200,   109.152]; seg_len2 =  9.952; step_len2 =  1.344; start_diff = -0.480; step_diff = -1.344; score = 22.1405;  271
[   99.680,   109.568]; seg_len1 =  9.888; step_len1 =  0.960; [   99.808,   109.760]; seg_len2 =  9.952; step_len2 =  0.608; start_diff = -0.128; step_diff =  0.352; score = 20.2119;  248
[  101.184,   111.136]; seg_len1 =  9.952; step_len1 =  1.504; [  100.832,   110.720]; seg_len2 =  9.888; step_len2 =  1.024; start_diff =  0.352; step_diff =  0.480; score = 19.9847;  262
[  101.440,   111.136]; seg_len1 =  9.696; step_len1 =  0.256; [  102.112,   112.000]; seg_len2 =  9.888; step_len2 =  1.280; start_diff = -0.672; step_diff = -1.024; score = 22.4070;  283
[  102.368,   112.096]; seg_len1 =  9.728; step_len1 =  0.928; [  102.816,   112.480]; seg_len2 =  9.664; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.224; score = 22.5306;  276
[  103.456,   112.096]; seg_len1 =  8.640; step_len1 =  1.088; [  103.936,   113.600]; seg_len2 =  9.664; step_len2 =  1.120; start_diff = -0.480; step_diff = -0.032; score = 25.9430;  337
[  104.512,   114.464]; seg_len1 =  9.952; step_len1 =  1.056; [  104.768,   114.624]; seg_len2 =  9.856; step_len2 =  0.832; start_diff = -0.256; step_diff =  0.224; score = 22.4422;  272
[  105.344,   115.232]; seg_len1 =  9.888; step_len1 =  0.832; [  105.792,   114.624]; seg_len2 =  8.832; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.192; score = 22.5269;  230
[  106.336,   115.936]; seg_len1 =  9.600; step_len1 =  0.992; [  106.752,   116.672]; seg_len2 =  9.920; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 22.8033;  218
