[  283.488,   287.520]; seg_len =  4.032; step_len =  1.568; score =  0.313;    1
[  284.352,   288.928]; seg_len =  4.576; step_len =  0.864; score =  0.313;    1
[  285.792,   290.752]; seg_len =  4.960; step_len =  1.440; score =  0.313;    1
[  285.888,   290.784]; seg_len =  4.896; step_len =  0.096; score =  0.313;    1
[  287.136,   292.000]; seg_len =  4.864; step_len =  1.248; score =  0.000;    0
[  288.736,   293.696]; seg_len =  4.960; step_len =  1.600; score =  0.313;    1
[  288.864,   293.824]; seg_len =  4.960; step_len =  0.128; score =  0.313;    1
[  289.856,   294.816]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  290.976,   295.808]; seg_len =  4.832; step_len =  1.120; score =  0.313;    1
[  291.840,   296.672]; seg_len =  4.832; step_len =  0.864; score =  0.313;    1
[  292.832,   297.792]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  293.824,   298.784]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  294.816,   299.776]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  295.808,   300.384]; seg_len =  4.576; step_len =  0.992; score =  0.000;    0
[  296.864,   301.824]; seg_len =  4.960; step_len =  1.056; score =  0.000;    0
[  297.792,   302.656]; seg_len =  4.864; step_len =  0.928; score =  0.313;    1
[  298.784,   303.584]; seg_len =  4.800; step_len =  0.992; score =  0.313;    1
[  299.776,   304.736]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  300.960,   305.888]; seg_len =  4.928; step_len =  1.184; score =  0.313;    1
[  301.760,   306.688]; seg_len =  4.928; step_len =  0.800; score =  0.313;    1
[  302.880,   307.776]; seg_len =  4.896; step_len =  1.120; score =  0.627;    2
[  304.544,   308.928]; seg_len =  4.384; step_len =  1.664; score =  0.627;    2
[  304.736,   309.696]; seg_len =  4.960; step_len =  0.192; score =  0.627;    2
[  305.728,   310.656]; seg_len =  4.928; step_len =  0.992; score =  0.627;    2
[  306.752,   311.712]; seg_len =  4.960; step_len =  1.024; score =  0.627;    2
[  307.712,   312.640]; seg_len =  4.928; step_len =  0.960; score =  0.313;    1
[  308.704,   313.600]; seg_len =  4.896; step_len =  0.992; score =  0.000;    0
[  309.696,   314.528]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[  310.720,   315.680]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[  311.712,   316.512]; seg_len =  4.800; step_len =  0.992; score =  0.000;    0
[  312.736,   317.632]; seg_len =  4.896; step_len =  1.024; score =  0.000;    0
[  313.696,   318.656]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  314.784,   319.744]; seg_len =  4.960; step_len =  1.088; score =  0.000;    0
[  315.680,   320.576]; seg_len =  4.896; step_len =  0.896; score =  0.000;    0
[  316.736,   321.568]; seg_len =  4.832; step_len =  1.056; score =  0.000;    0
[  317.632,   322.592]; seg_len =  4.960; step_len =  0.896; score =  0.000;    0
[  318.656,   323.616]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[  319.680,   324.384]; seg_len =  4.704; step_len =  1.024; score =  0.000;    0
[  321.440,   326.400]; seg_len =  4.960; step_len =  1.760; score =  0.000;    0
[  321.728,   326.688]; seg_len =  4.960; step_len =  0.288; score =  0.000;    0
[  322.592,   327.360]; seg_len =  4.768; step_len =  0.864; score =  0.000;    0
[  323.584,   328.544]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  324.736,   329.664]; seg_len =  4.928; step_len =  1.152; score =  0.000;    0
[  325.600,   330.528]; seg_len =  4.928; step_len =  0.864; score =  0.000;    0
[  326.560,   331.520]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  327.904,   332.672]; seg_len =  4.768; step_len =  1.344; score =  0.000;    0
[  328.544,   333.472]; seg_len =  4.928; step_len =  0.640; score =  0.000;    0
[  329.568,   334.496]; seg_len =  4.928; step_len =  1.024; score =  0.000;    0
[  330.528,   335.072]; seg_len =  4.544; step_len =  0.960; score =  0.000;    0
[  331.520,   336.480]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  332.512,   337.344]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[  333.696,   338.624]; seg_len =  4.928; step_len =  1.184; score =  0.000;    0
[  334.496,   339.392]; seg_len =  4.896; step_len =  0.800; score =  0.000;    0
[  335.648,   340.576]; seg_len =  4.928; step_len =  1.152; score =  0.000;    0
[  336.480,   341.440]; seg_len =  4.960; step_len =  0.832; score =  0.000;    0
[  337.536,   342.240]; seg_len =  4.704; step_len =  1.056; score =  0.000;    0
