[   90.784,    95.744]; seg_len1 =  4.960; step_len1 =  1.312; [   91.328,    96.160]; seg_len2 =  4.832; step_len2 =  1.312; start_diff = -0.544; step_diff =  0.000; score = 23.6786;  112
[   91.520,    96.288]; seg_len1 =  4.768; step_len1 =  0.736; [   91.904,    96.672]; seg_len2 =  4.768; step_len2 =  0.576; start_diff = -0.384; step_diff =  0.160; score = 25.6071;  116
[   92.576,    96.896]; seg_len1 =  4.320; step_len1 =  1.056; [   93.728,    98.688]; seg_len2 =  4.960; step_len2 =  1.824; start_diff = -1.152; step_diff = -0.768; score = 30.4348;  154
[   93.440,    96.896]; seg_len1 =  3.456; step_len1 =  0.864; [   93.856,    98.752]; seg_len2 =  4.896; step_len2 =  0.128; start_diff = -0.416; step_diff =  0.736; score = 21.4286;  111
[   94.560,    99.072]; seg_len1 =  4.512; step_len1 =  1.120; [   95.168,    99.968]; seg_len2 =  4.800; step_len2 =  1.312; start_diff = -0.608; step_diff = -0.192; score = 15.0909;   83
[   95.424,   100.320]; seg_len1 =  4.896; step_len1 =  0.864; [   95.872,   100.832]; seg_len2 =  4.960; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.160; score = 12.8079;   52
[   96.800,   101.632]; seg_len1 =  4.832; step_len1 =  1.376; [   97.024,   101.760]; seg_len2 =  4.736; step_len2 =  1.152; start_diff = -0.224; step_diff =  0.224; score = 10.4213;   47
[   98.720,   103.680]; seg_len1 =  4.960; step_len1 =  1.920; [   97.856,   102.816]; seg_len2 =  4.960; step_len2 =  0.832; start_diff =  0.864; step_diff =  1.088; score = 12.0950;   56
[   98.720,   103.680]; seg_len1 =  4.960; step_len1 =  0.000; [   99.200,   104.096]; seg_len2 =  4.896; step_len2 =  1.344; start_diff = -0.480; step_diff = -1.344; score = 14.9254;   80
[   99.680,   104.544]; seg_len1 =  4.864; step_len1 =  0.960; [   99.808,   104.768]; seg_len2 =  4.960; step_len2 =  0.608; start_diff = -0.128; step_diff =  0.352; score =  7.4004;   39
[  101.184,   105.632]; seg_len1 =  4.448; step_len1 =  1.504; [  100.832,   105.792]; seg_len2 =  4.960; step_len2 =  1.024; start_diff =  0.352; step_diff =  0.480; score =  9.8935;   65
[  101.440,   106.336]; seg_len1 =  4.896; step_len1 =  0.256; [  102.112,   106.976]; seg_len2 =  4.864; step_len2 =  1.280; start_diff = -0.672; step_diff = -1.024; score = 20.3147;  142
[  102.368,   107.296]; seg_len1 =  4.928; step_len1 =  0.928; [  102.816,   107.648]; seg_len2 =  4.832; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.224; score = 20.8623;  150
[  103.456,   108.256]; seg_len1 =  4.800; step_len1 =  1.088; [  103.936,   108.896]; seg_len2 =  4.960; step_len2 =  1.120; start_diff = -0.480; step_diff = -0.032; score = 18.6548;  147
[  104.512,   109.472]; seg_len1 =  4.960; step_len1 =  1.056; [  104.768,   109.728]; seg_len2 =  4.960; step_len2 =  0.832; start_diff = -0.256; step_diff =  0.224; score = 13.4266;   96
[  105.344,   110.048]; seg_len1 =  4.704; step_len1 =  0.832; [  105.792,   110.720]; seg_len2 =  4.928; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.192; score = 11.9879;   79
