[   53.728,    93.696]; seg_len1 = 39.968; step_len1 =  0.000; [   53.184,    92.736]; seg_len2 = 39.552; step_len2 =  0.800; start_diff =  0.544; step_diff = -0.800; score = 31.8573; 1741
[   53.760,    93.696]; seg_len1 = 39.936; step_len1 =  0.032; [   54.560,    94.336]; seg_len2 = 39.776; step_len2 =  1.376; start_diff = -0.800; step_diff = -1.344; score = 33.8342; 1779
[   55.072,    94.944]; seg_len1 = 39.872; step_len1 =  1.312; [   56.192,    96.160]; seg_len2 = 39.968; step_len2 =  1.632; start_diff = -1.120; step_diff = -0.320; score = 33.3394; 1831
[   55.776,    95.744]; seg_len1 = 39.968; step_len1 =  0.704; [   56.192,    96.160]; seg_len2 = 39.968; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.704; score = 33.2119; 1824
[   56.768,    96.288]; seg_len1 = 39.520; step_len1 =  0.992; [   57.184,    97.152]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 33.9929; 1821
[   57.760,    96.896]; seg_len1 = 39.136; step_len1 =  0.992; [   58.240,    98.208]; seg_len2 = 39.968; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 34.5052; 1806
[   58.720,    96.896]; seg_len1 = 38.176; step_len1 =  0.960; [   59.264,    99.232]; seg_len2 = 39.968; step_len2 =  1.024; start_diff = -0.544; step_diff = -0.064; score = 33.9144; 1751
[   59.712,    99.680]; seg_len1 = 39.968; step_len1 =  0.992; [   60.128,    99.968]; seg_len2 = 39.840; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.128; score = 33.1511; 1698
[   60.800,   100.320]; seg_len1 = 39.520; step_len1 =  1.088; [   61.152,   101.088]; seg_len2 = 39.936; step_len2 =  1.024; start_diff = -0.352; step_diff =  0.064; score = 33.5896; 1660
[   61.696,   101.632]; seg_len1 = 39.936; step_len1 =  0.896; [   62.112,   101.760]; seg_len2 = 39.648; step_len2 =  0.960; start_diff = -0.416; step_diff = -0.064; score = 33.0085; 1626
[   62.688,   102.400]; seg_len1 = 39.712; step_len1 =  0.992; [   63.264,   103.200]; seg_len2 = 39.936; step_len2 =  1.152; start_diff = -0.576; step_diff = -0.160; score = 31.7229; 1543
[   63.712,   103.680]; seg_len1 = 39.968; step_len1 =  1.024; [   64.128,   104.096]; seg_len2 = 39.968; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.160; score = 31.6297; 1541
[   64.672,   104.544]; seg_len1 = 39.872; step_len1 =  0.960; [   65.088,   104.832]; seg_len2 = 39.744; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.000; score = 31.9361; 1539
[   65.664,   105.632]; seg_len1 = 39.968; step_len1 =  0.992; [   66.208,   106.144]; seg_len2 = 39.936; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.128; score = 32.0261; 1568
