[   96.800,   111.136]; seg_len1 = 14.336; step_len1 =  1.376; [   97.024,   111.968]; seg_len2 = 14.944; step_len2 =  1.152; start_diff = -0.224; step_diff =  0.224; score = 19.9763;  337
[   98.720,   112.096]; seg_len1 = 13.376; step_len1 =  1.920; [   97.856,   112.480]; seg_len2 = 14.624; step_len2 =  0.832; start_diff =  0.864; step_diff =  1.088; score = 21.7133;  365
[   98.720,   112.096]; seg_len1 = 13.376; step_len1 =  0.000; [   99.200,   113.952]; seg_len2 = 14.752; step_len2 =  1.344; start_diff = -0.480; step_diff = -1.344; score = 26.5970;  458
[   99.680,   114.464]; seg_len1 = 14.784; step_len1 =  0.960; [   99.808,   114.624]; seg_len2 = 14.816; step_len2 =  0.608; start_diff = -0.128; step_diff =  0.352; score = 24.6799;  424
[  101.184,   115.936]; seg_len1 = 14.752; step_len1 =  1.504; [  100.832,   114.624]; seg_len2 = 13.792; step_len2 =  1.024; start_diff =  0.352; step_diff =  0.480; score = 24.6862;  413
[  101.440,   115.936]; seg_len1 = 14.496; step_len1 =  0.256; [  102.112,   116.896]; seg_len2 = 14.784; step_len2 =  1.280; start_diff = -0.672; step_diff = -1.024; score = 25.8487;  434
[  102.368,   117.312]; seg_len1 = 14.944; step_len1 =  0.928; [  102.816,   117.696]; seg_len2 = 14.880; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.224; score = 25.8631;  442
[  103.456,   118.304]; seg_len1 = 14.848; step_len1 =  1.088; [  103.936,   118.464]; seg_len2 = 14.528; step_len2 =  1.120; start_diff = -0.480; step_diff = -0.032; score = 24.9409;  422
[  104.512,   119.456]; seg_len1 = 14.944; step_len1 =  1.056; [  104.768,   119.680]; seg_len2 = 14.912; step_len2 =  0.832; start_diff = -0.256; step_diff =  0.224; score = 23.7383;  381
[  105.344,   120.096]; seg_len1 = 14.752; step_len1 =  0.832; [  105.792,   120.736]; seg_len2 = 14.944; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.192; score = 24.7800;  366
[  106.336,   121.280]; seg_len1 = 14.944; step_len1 =  0.992; [  106.752,   121.696]; seg_len2 = 14.944; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 28.1309;  447
[  107.616,   121.984]; seg_len1 = 14.368; step_len1 =  1.280; [  107.808,   122.720]; seg_len2 = 14.912; step_len2 =  1.056; start_diff = -0.192; step_diff =  0.224; score = 30.6059;  490
[  109.184,   123.936]; seg_len1 = 14.752; step_len1 =  1.568; [  108.736,   123.392]; seg_len2 = 14.656; step_len2 =  0.928; start_diff =  0.448; step_diff =  0.640; score = 32.5877;  539
